date,p_icln,p_pbd,v_icln,v_pbd
25-Jul-21,22.71,29.62,21.21,356.41
1-Aug-21,22.92,29.35,14.15,304.52
8-Aug-21,22.6,29.06,16.61,273.73
15-Aug-21,22.68,28.03,18.7,348.71
22-Aug-21,23.12,29.31,13.36,336.35
29-Aug-21,23.6,30.08,12.59,236.26
5-Sep-21,22.57,29.39,13.86,208.78
12-Sep-21,22.52,29.39,22.64,1270
19-Sep-21,22.25,28.81,21.38,339.28
26-Sep-21,21.77,28,16.63,663
3-Oct-21,21.34,26.65,22.6,1660
10-Oct-21,22.93,28.73,31.12,1120
17-Oct-21,23.56,29.36,16.26,279.42
24-Oct-21,25.27,31.31,27.19,441.69
31-Oct-21,24.28,31.44,31.27,408.15
7-Nov-21,25.08,32.33,26.89,306.56
14-Nov-21,24.69,31.14,21.05,258.36
21-Nov-21,23.6,29.71,22,295.17
28-Nov-21,21.95,27.45,34.88,447.8
5-Dec-21,22.19,28.1,26.97,412.98
12-Dec-21,21.22,26.8,37.23,545.03
19-Dec-21,21.24,27.02,24.6,820.72
26-Dec-21,21.17,26.83,27.41,545.94
2-Jan-22,19.66,25.17,29.23,529.68
9-Jan-22,19.45,24.61,27.91,287.59
16-Jan-22,18.3,22.4,33.77,330.71
23-Jan-22,17.76,20.88,46.28,609.63
30-Jan-22,18.34,21.72,29.53,485.79
6-Feb-22,17.97,21.51,25.4,373.11
13-Feb-22,18.14,21.45,24.25,422.66
20-Feb-22,19.44,22.24,32.06,308.13
27-Feb-22,19.42,21.84,41.64,277.79
6-Mar-22,21.48,23.92,11.95,48.22
